Company Name,Description,Hot Lead / warm lead / cool lead,Last Contact Date,Sales Rep,Name,Phone,fax / second number / extension,email,Second email,Type
Inwood Condominium Assn Inc,cliff drumm 203-374-2744 is property manager,,,,Frawthwirth Jerry,(203) 374-9933,,,,Condo list
Island Sands Condominium Assoc,,,,, ,(203) 877-5992,,,,Condo list
Judd Square Condominium Office,,,,, ,(203) 284-1072,,,,Condo list
Kingswood Condominiums,fax number,,,,Murphy Terry,(203) 975-7599,,,,Condo list
Lakeridge Association Tax Dist,,,,,Cinel Hakki,(860) 482-9401,,,,Condo list
Lakeside Condominium,,,,,Weeks Cheryl,(860) 572-0254,,,,Condo list
Latimer Point Condo Assoc,,,,,Smith Marie,(860) 245-0233,,,,Condo list
Laurel Condominiums,,,,, ,(860) 525-9207,,,,Condo list
Liberty Square Condominium,,,,, ,(860) 827-9108,,,,Condo list
Linden House Condominiums,203-359-4611 --rick marigo,,,,Sanchez Adrian,(203) 325-2154,,,,Condo list
Longview Village Condo Assn,,,,, ,(860) 437-8039,,,,Condo list
Medical Condominium Assoc Inc,,,,, ,(860) 344-0498,,,,Condo list
Mill River House Condominium,,,,, ,(203) 978-0834,,,,Condo list
Millpointe Of Wethersfield,fax number,,1/8/2013,, ,(860) 721-7392,,,,Condo list
Mills Pond Condominiums,fax number,,1/8/2013,, ,(860) 243-3057,,,,Condo list
Montoya Condominium Rentals,no common area electric,,,,Wilkins Jerry,(203) 481-9800,,,,Condo list
Mountain Commons Condo Assn,,,1/8/2013,, tracy  ?,(860) 247-2318,,,,Condo list
New Canaan Townhouse Condo,1/8/2013,,1/8/2013,, ,(203) 966-4292,,,,Condo list
Nob Hill Condominiums,da rich company  tom rich is the new property management firm.  1/4/ 13,,,,tom  rich ,(203) 375-1678,,,,Condo list
North Ridge Condominium Assn,1/4 no amswer,,,, ,(203) 794-9731,,,,Condo list
Oak Park Condo Assoc Inc,1/4 no answer,,,, ,(203) 245-2576,,,,Condo list
Old Forge Condominium,1/4  wrong #,,,, ,(203) 272-0822,,,,Condo list
One Strawberry Hill Condo,,,,,Vera Angel,(203) 325-2725,,,,Condo list
Orangewood East Master Condo,,,,, ,(203) 732-0854,,,,Condo list
Oronoque Forest Club House,,,,, ,(203) 389-5963,,,,Condo list
Oronoque Village Condominium,1/4 lft msg,,,,Staley John,(203) 377-5313,,,,Condo list
Palmer Landing,,,,, ,(203) 323-6187,,,,Condo list
Park North Condominium Assn,,,,,Mc Carthy Jerry,(203) 374-2808,,,,Condo list
Park Of Wolcott,lft msg 1/4/13 lynn works directly with utility.,,,,Brobowski Tim,(203) 879-1199,,,,Condo list
Park Ridge Condominiums,,,,, ,(860) 956-5797,,,,Condo list
Parkside Manor Condo Assn,,,,, ,(203) 773-1642,,,,Condo list
Pilgrim Realty,,,,,D'Antonio Ray,(203) 265-7200,,,,Condo list
Pine Meadow Homes Assoc LLC,no answer,,,, ,(860) 621-8989,,,,Condo list
Playhouse Condominium Assn Inc,,,,, ,(203) 341-9205,,,,Condo list
Pleasant Bay Condominium Assn,no answer,,,, ,(203) 335-7505,,,,Condo list
Pleasant Hills Condominiums,,,,, ,(860) 648-4065,,,,Condo list
Plymouth Colony Condominiums,,,,, ,(203) 481-0837,,,,Condo list
Prince Profession Ctr Assn Inc,whitney mgt 203-230-0443  1/4,,1/8/2013,,marcus paul ,(203) 785-1063,,,,Condo list
Prospect Grove Condominium,no answer,,1/8/2013,, ,(203) 325-3702,,,,Condo list
Queen Terrace Condo Assn,no answer,,1/8,, ,(860) 628-3179,,,,Condo list
Racing Brook Meadow 2 Condo,wrong number,,1/8,, ,(203) 744-7468,,,,Condo list
Real Property Investment,,,,, ,(203) 790-6665,,,,Condo list
Realtyquest,,,,,Epprecht David,(203) 656-1857,,,,Condo list
Redstone Manor Condominiums,no answer,,1/8,, ,(203) 325-1647,,,,Condo list
Regency At Berlin Condo Assoc,,,,, ,(860) 829-8919,,,,Condo list
Regency Hills Condo Assoc Inc,wrong number,,,, ,(203) 397-8725,,,,Condo list
Regency Towers,no answer,,1/8/2013,, ,(860) 522-7687,,,,Condo list
Regents Park Condominiums,security office wrong number,,,,Mc Garrie Bill,(203) 255-4245,,,,Condo list
Ridgeview Terr Condo Assoc Inc,,,,, ,(203) 759-1902,,,,Condo list
River Garden Terrace Condos,,,,, ,(203) 327-4214,,,,Condo list
Riverpoint Condominiums Inc,,,,, ,(860) 528-1588,,,,Condo list
Riverview Condominiums,,,,, ,(203) 838-5649,,,,Condo list
Riverway-Norwalk Condominium,,,,, ,(203) 899-1927,,,,Condo list
Rolling Greens Condominiums,no msg,,1/8/2013,,Gurtel Tom,(860) 896-0101,,,,Condo list
Ronda Margolis Gold Broker,no msg,,1/8/,, ,(203) 483-5757,,,,Condo list
Royal Pavillion Assn Inc,no msg,,1/8/,,Soliman Abdou,(203) 358-0595,,,,Condo list
Royal Villas Condo Assn,,,,, ,(860) 521-2877,,,,Condo list
Sandylane Condominium Assn,,,,, ,(203) 740-2799,,,,Condo list
Seascape Condominium Assoc Inc,,,,, ,(203) 469-9668,,,,Condo list
Seaside Village Homes Inc,property manager is kathy,,1/8,,garofalo kathy,(203) 334-3185,,,,Condo list
Sheltered Cove Condo,,,,, ,(860) 388-9093,,,,Condo list
Soap Factory Condos,,,,,Crawford Bill,(860) 633-0617,,,,Condo list
Sound Breeze Of Groton,no answer,,1/8,, ,(860) 446-0496,,,,Condo list
South Wind Village Condominium,no answer,,1/8,, ,(203) 878-9457,,,,Condo list
Southport Harbor Condominium,,,,, ,(203) 255-0871,,,,Condo list
Spring Hill Terrace Condo,,,,, ,(203) 595-9023,,,,Condo list
Stanhope Condominium Assn Inc,,,,, ,(203) 978-0122,,,,Condo list
Stanley Woods Condominum Inc,,,,, ,(860) 224-2371,,,,Condo list
Stone Ridge At Fairfield,,,,, ,(203) 333-8200,,,,Condo list
Stratford Condominium,no msg,,1/8/2013,,Roy Allen,(203) 375-2922,,,,Condo list
Strawberry Woods Condominium,,,,, ,(203) 846-1060,,,,Condo list
Strawbridge Condominium Secrty,,,,, ,(860) 644-5668,,,,Condo list
Successful Condominium Assn,,,,, ,(203) 380-2884,,,,Condo list
Sullivan Farms Pumps House,,,,, ,(860) 355-8519,,,,Condo list
Summerwood Condominium Assoc,,,,, ,(860) 399-5188,,,,Condo list
Sylvan Knoll Co-Op One Inc,,,,, ,(203) 324-9336,,,,Condo list
Tashua Terrace Condo Assoc,,,,, ,(203) 268-6897,,,,Condo list
Taylor Ave Condo Assoc,,,,, ,(203) 739-0638,,,,Condo list
Terrace Court Condominiums,,,,, ,(203) 459-0649,,,,Condo list
Thermos On The Thames Condos,wrong number,,1/8/2013,,Arters Gene,(860) 886-4994,,,,Condo list
Town & Country Condo Assoc,,,,,Anderson Lal,(203) 869-7480,,,,Condo list
Town Green Office Condominium,,,,, ,(203) 234-2148,,,,Condo list
Tudor Ridge Condominium Assoc,,,,,Vayda David,(203) 378-0263,,,,Condo list
Tunxis Village,,,,,Balanger Barbara,(860) 677-2200,,,,Condo list
Village At Hunt Glen Condo,,,,, ,(860) 653-7756,,,,Condo list
Village Condo Assoc-East Haven,,,,, ,(203) 468-0361,,,,Condo list
Vista Towers Condominiums,,,,,Lumbardo Mike,(203) 327-3722,,,,Condo list
Washington Heights Condominium,,,,, ,(203) 274-5545,,,,Condo list
WEBB Manor Condominiums,,,,, ,(203) 630-1738,,,,Condo list
West Farms Village,,,,, ,(860) 224-2626,,,,Condo list
West Lyon Farm Condo Assn Inc,,,,,Reeves Kevin,(203) 531-4220,,,,Condo list
Westage Condominiums Mntnc Svc,,,,,Fresen Robert,(860) 529-0392,,,,Condo list
Westchester Hills Condominium,,,,, ,(860) 267-2478,,,,Condo list
Westgreen Condominium,,,,, ,(860) 570-4845,,,,Condo list
Westville Commons Condominuim,,,,, ,(203) 792-2333,,,,Condo list
Westwood Condominium Assn Inc,,,,, ,(860) 232-8065,,,,Condo list
Whispering Woods Condominium,,,,, ,(860) 693-6779,,,,Condo list
Wickham Gardens Condo,,,,, ,(860) 308-2774,,,,Condo list
Willow Springs Condo Club Hse,,,,, ,(860) 350-3896,,,,Condo list
Wilton Crest Condominiums,,,,, ,(203) 834-9603,,,,Condo list
Winding Hollow Condo Assoc,,,,, ,(860) 445-9848,,,,Condo list
Winthrop House,,,,, ,(203) 661-5268,,,,Condo list
Wodoland Manor Condominiums,,,,, ,(860) 533-1098,,,,Condo list
Woodlake Condominium,,,,,Nardi William,(203) 263-4014,,,,Condo list
Woodside Village Sprntdnts's,,,,, ,(203) 323-6175,,,,Condo list
1150 K Street Condominiums,no answer,,1./9/2013,, ,(202) 682-0993,,,,Condo list
1340 Vermont Ave Condo Assn,wrong #,,1/9/2013,, ,(202) 232-6129,,,,Condo list
1441 Rhode Island Condo,,,,,scott sean,(202) 986-5559,,,,Condo list
15th Que Condominium,no answer,,1/9/2013,, ,(202) 986-7851,,,,Condo list
1626 5th Street Condo,no answer,,1/9/2013,, ,(202) 588-7227,,,,Condo list
1731 20th St Nw Condominiums, no answer,,1/9/2013,, ,(202) 588-1915,,,,Condo list
1801-1803 Swann Condominums,no answer,,1/9/2013,, ,(202) 234-1066,,,,Condo list
1815 19th Street Condominium,no answer,,1/9/2013,, ,(202) 629-3197,,,,Condo list
1821 16th St Condo,wrong number,,1/9/2013,, ,(202) 332-0602,,,,Condo list
2020 Unit Owners Condo Assn,no answer,,1/9/2013,, ,(202) 232-6403,,,,Condo list
22 West A Condominium,no oicemail,,1/9/2013,,brooksher greg,(202) 659-3624,,,,Condo list
247-251 Condo Assn,,,,, ,(202) 939-1429,,,,Condo list
2501 M St Condo,too complicated not a good lead,,1/9/2013,,Desouky Ahmed,(202) 659-2343,,,,Condo list
2600 Pennsylvania Ave Condo,no answer,,1/92013,, ,(202) 337-5060,,,,Condo list
2600 Pennsylvania Condo,,,,, ,(202) 249-8956,,,,Condo list
2800 Associates,,,,, ,(202) 966-3848,,,,Condo list
3 Washington Circle Condo,,,,, ,(202) 775-0237,,,,Condo list
3025 Porter Street Condominium,,,,, ,(202) 244-3584,,,,Condo list
3303 Water St,,,,, ,(202) 338-3033,,,,Condo list
3701 Connecticut Avenue Condo,sent email with pamphlet,,,,tyson elgin,(202) 363-2800,wilshireparkcondos@starpower.net,,,Condo list
412 19th St Condominiums,,,,, ,(202) 388-1138,,,,Condo list
4600 Connecticut Avenue Condo,,,,,richter harry,(202) 362-1368,,,,Condo list
701 Lamont Street Loft Condos,,,,, ,(202) 722-7712,,,,Condo list
A Condominium The Pennsylvania,,,,, ,(202) 347-4627,,,,Condo list
Alexander Condominium,,,,, ,(202) 232-0352,,,,Condo list
America Libre Institute,,,,, ,(202) 349-2047,,,,Condo list
Ameridream Charity,,,,, ,(202) 575-2329,,,,Condo list
Analoston Condominium,,,,, ,(202) 797-2604,,,,Condo list
Apolline Condominiums,very rude told me not to waste his time.,,1/9/2013,,Eichinger George,(202) 296-6020,,,,Condo list
Artisan Condominium,,,,, ,(202) 393-3730,,,,Condo list
Atlas Condominium,,,,, ,(202) 293-0960,,,,Condo list
Beecher House,paul hurley is property agentfor beecher house 202-337-9000 x 22,,,,Costello Kevin,(202) 965-2097,,,,Condo list
Belgrove Condos,,,,, ,(202) 575-0009,,,,Condo list
Belmont Park Condominium,,,,, ,(202) 797-7001,,,,Condo list
Berkeley Condominiums,,,,, ,(202) 518-2487,,,,Condo list
Bishops Gate Condo,,,,, ,(202) 234-4967,,,,Condo list
Blaine Mansion Condominium,,,,, ,(202) 223-2690,,,,Condo list
Brittaany Condominium,,,,, ,(202) 232-6733,,,,Condo list
Bryn Mawr,,,,, ,(202) 965-1575,,,,Condo list
Butternut Court Condominiums,,,,, ,(202) 291-2261,,,,Condo list
Cairo Condominiums,1/9/2013 property manager call 1/11/2013,,,,king lee,(202) 232-4020,,,,Condo list
Capito Park Iv Condominium,no answer,,1/10/2013,,Buelken Bruce,(202) 484-5235,,,,Condo list
Capitol Hill Tower Co-Op,,,,,ames pierre,(202) 479-4002,,,,Condo list
Capitol Hill West Condominiums,,,,, ,(202) 546-8236,,,,Condo list
Carriage House Condominium,,,,,Mullen Kevin,(202) 223-6701,,,,Condo list
Carrollsburg Condominium,,,,,Eaglin Kimberly,(202) 554-5780,,,,Condo list
Carthage Condominium,,,,, ,(202) 332-2485,,,,Condo list
Cassandra Condominiums,,,,, ,(202) 291-2470,,,,Condo list
Cathedral Court,,,,, ,(202) 966-8729,,,,Condo list
Cavendish Condominiums,,,,, ,(202) 544-2486,,,,Condo list
Chelsea Gardens Condo,,,,, ,(202) 462-6021,,,,Condo list
Christopher Condo,,,,, ,(202) 575-2515,,,,Condo list
City Skate On Belmont Condo,,,,, ,(202) 232-3297,,,,Condo list
Clara Barton Penn Quarters,,,,,Niles Darcy,(202) 347-0803,,,,Condo list
Cleveland Terrace Condominium,,,,, ,(202) 362-1166,,,,Condo list
Columbia Condo Assn,,,,, ,(202) 667-0269,,,,Condo list
Columbia Heights Lofts,,,,, ,(202) 652-1697,,,,Condo list
Columbia Square Condo Assn,,,,, ,(202) 232-3765,,,,Condo list
Condo Observatory,,,,, ,(202) 342-2307,,,,Condo list
Condo West,,,,, ,(202) 331-1258,,,,Condo list
Cooper Lewis Condominiums,,,,, ,(202) 667-2810,,,,Condo list
Copley Plaza Apartments,larry is manager  202-244-8000 manages apt works for community systems,,1/10/2013,,rowse larry,(202) 232-8383,,,,Condo list
Corcoran Condominium,,,, , ,(202) 234-4166,,,,Condo list
Crescent Condominum,,,,, ,(202) 234-2589,,,,Condo list
Davis French Condominiums,,,,, ,(202) 234-2466,,,,Condo list
Digby Condominiums,,,,, ,(202) 296-8673,,,,Condo list
Dorset Condominiums,,,,, ,(202) 543-1883,,,,Condo list
Dresden Condominiums,very rude person,,,, ,(202) 387-6071,,,,Condo list
Dumbarton Court Condominium,,,,, ,(202) 965-3532,,,,Condo list
Dupont West Condominium Assoc,,,,, ,(202) 775-9425,,,,Condo list
Durant Manor Condominiums,,,,, ,(202) 238-9337,,,,Condo list
East-The Capitol Condo,,,,, ,(202) 575-0438,,,,Condo list
Edgewater Condominium Assoc,,,,, ,(202) 488-0697,,,,Condo list
Eleven A Condominium,no answer,,1/10,,Honig Rick,(202) 216-9119,,,,Condo list
Ellsworth Condenmium,,,,, ,(202) 543-6049,,,,Condo list
Embassy Condiminums,,,,, ,(202) 986-8818,,,,Condo list
Emerson House On The Park,she said they have taken care of electricity not a good lead,,1/10,, akena,(202) 776-0904,,,,Condo list
Essex,spoke to kathy and left msg for george .follow up they need a property manager,,1/10,,Storti George,(202) 362-3217,,,,Condo list
Flats At Shaw Condominiums,,,,, ,(202) 393-0167,,,,Condo list
Flour Mill Condominium,no msg,,1/10,,Stoddard Antoinete,(202) 333-3000,,,,Condo list
Forest Cove Condos LLC,no msg,,1/10,,Mc Kenney Sherman,(202) 889-9226,,,,Condo list
Forty Two Hundred Cathedral,new property manager,,,, robert,(202) 362-9720,,,,Condo list
Four Thousand Tunlaw Condos,,,,, ,(202) 333-8222,,,,Condo list
Four Twenty Condos,,,,, ,(202) 698-0365,,,,Condo list
Foxhall Condominiums East,,,,,Cato Rohan,(202) 686-1457,,,,Condo list
Gateway Georgetown Condominium,,,,, ,(202) 965-2224,,,,Condo list
General Scott Condominiums,,,,, ,(202) 462-0500,,,,Condo list
Georgetown Park Condominium,,,,,Wolosky John,(202) 342-3121,,,,Condo list
Georgetown Park Condominium,,,,, ,(202) 342-1091,,,,Condo list
Gerogetown Gate Condominium,,,,, ,(202) 293-1696,,,,Condo list
Gibson Condominium,,,,, ,(202) 775-8273,,,,Condo list
Gladstone Condominium,,,,, ,(202) 265-1955,,,,Condo list
Glens At Rock Creek Condo,,,,, ,(202) 291-1695,,,,Condo list
Goldstar Floridian,,,,, ,(202) 299-9744,,,,Condo list
Greenbriar Condominiums,,,,, ,(202) 363-1741,,,,Condo list
Hampshire House Condominiums,,,,,Deburr John,(202) 833-3927,,,,Condo list
Harbour Square Owners Inc,,,,,Lord Brian,(202) 554-3314,,,,Condo list
Harvard Condominium Assoc,,,,, ,(202) 232-0371,,,,Condo list
Harvard Condominium Fourteen,,,,, ,(202) 667-1487,,,,Condo list
Hastings Condominiums,,,,, ,(202) 363-5592,,,,Condo list
Iilora Condominiums LLC,,,,, ,(202) 529-0836,,,,Condo list
James Place Condominiums,wouldn't give property managers name,,,, ,(202) 333-5020,,,,Condo list
Jefferson Condominium,,,,, ,(202) 248-4013,,,,Condo list
Jefferson House Condominium,,,,, ,(202) 337-3900,,,,Condo list
Jenkins Row LP,,,,, ,(202) 546-6555,,,,Condo list
Jocelyn House Condominium,,,,, ,(202) 244-7230,,,,Condo list
Jospheine Condo,,,,, ,(202) 525-5939,,,,Condo list
Judson Condominium Assn,,,,, ,(202) 234-0991,,,,Condo list
Kalorama House Condominium,,,,, ,(202) 232-2461,,,,Condo list
Kalorama Rd Condominium,,,,, ,(202) 667-1843,,,,Condo list
Kalorama Square Condominiums,no msg,,1/10,,Kelly Ronald,(202) 462-4800,,,,Condo list
Kenyon Street Condo,,,,, ,(202) 387-0306,,,,Condo list
Lacey Condominiums Unit Owner,,,,, ,(202) 332-0431,,,,Condo list
Lincoln Condominium,already working with broker. This is the fourth person that eric andI overlapped.,,,,Redhead Yolande,(202) 248-2929,,,,Condo list
Lofts Of Ontario Condominium,,,,, ,(202) 232-4409,,,,Condo list
Logan Court Condo,,,,, ,(202) 238-9560,,,,Condo list
Logan Park Condominium,,,,, ,(202) 789-4042,,,,Condo list
Longfellow Condo Assoc,,,,, ,(202) 722-0140,,,,Condo list
Lynnshire Condominiums,,,,, ,(202) 232-0644,,,,Condo list
Lyons Mill Condo,,,,, ,(202) 342-6267,,,,Condo list
Magdaline Condo Assn,,,,, ,(202) 299-0176,,,,Condo list
Manor View 2 Condominiums,,,,, ,(202) 373-1309,,,,Condo list
Mark On M Condo,,,,, ,(202) 223-7225,,,,Condo list
Massachusetts House,miguel is chief engineer tried to call but got hung up on. Try again.,,,,Turner Rietta,(202) 347-6694,,,,Condo list
Matheson Condominium Unit,,,,, ,(202) 238-9130,,,,Condo list
Mc Cormick Group Realty,,,,,Roth Ben,(202) 728-9500,,,,Condo list
Mc Gill Row Condominiums,,,,, ,(202) 797-8912,,,,Condo list
Mc Lean Garden Condo Assn,,,,,Ahmed Pervaiz,(202) 966-9780,,,,Condo list
Mc Williams Ballard Rsdntl,,,,,Grange Valerie,(202) 628-0460,,,,Condo list
Merdian View Comdominium,,,,, ,(202) 332-3624,,,,Condo list
Metropolitan Condominiums,,,,, ,(202) 223-0518,,,,Condo list
Namora Condominium,,,,, ,(202) 526-4124,,,,Condo list
Nelson Condominium,,,,, ,(202) 234-8690,,,,Condo list
New Monterey Condominium,,,,, ,(202) 483-3905,,,,Condo list
Newton Flats Condominium Assoc,,,,, ,(202) 332-1527,,,,Condo list
ONATCCLLC,,,,, ,(202) 863-0260,,,,Condo list
Ordway Gardens,no msg ,,1/10,,Fleming Beau,(202) 362-8242,,,,Condo list
Ordway Park Condo,,,,, ,(202) 966-7856,,,,Condo list
Palladium,no answer,,1/10,,Brown Yolanda,(202) 223-2904,,,,Condo list
Papermill Condominium,,,,, ,(202) 337-1396,,,,Condo list
Park At 14th,no msg,,1/10,,Barnes Marc,(202) 737-7275,,,,Condo list
Park Princess Condominiums,non msg,,1/10,,Owens Anthony,(202) 371-8316,,,,Condo list
Park Town Condominium Assoc,,,,, ,(202) 544-2113,,,,Condo list
Pennsylvania A Condominium,,,,,Acevedl Elizabeth,(202) 638-3124,,,,Condo list
Phoenix Condominiums,,,,, ,(202) 457-1453,,,,Condo list
Phylmar Plaza Condominium Assn,brim realty handles energy 202-625-1894 sarah or bernie no msg,,1/10,, scott,(202) 965-6336,,,,Condo list
Remington Condominium Assn,,,,, ,(202) 659-9236,,,,Condo list
Renaissance Condominium,,,,, ,(202) 328-8119,,,,Condo list
Residences At Potomac Pl,,,,, ,(202) 484-1270,,,,Condo list
Rhapsody Condominium Assn,,,,, ,(202) 234-2230,,,,Condo list
Richelieu Condominium Inc,,,,, ,(202) 232-5032,,,,Condo list
Rittenhouse Condominium,,,,, ,(202) 726-1739,,,,Condo list
Riverside Condominium,no msg,,1/10,,Herlong Mark,(202) 554-5510,,,,Condo list
Roydon Condo,,,,, ,(202) 238-9398,,,,Condo list
Sagamore Condominium,,,,, ,(202) 387-4958,,,,Condo list
Scott Alexander Condo Assoc,,,,, ,(202) 667-1642,,,,Condo list
Sennessy Lofts Condominium,,,,, ,(202) 408-9654,,,,Condo list
Sheffield Condominiums,,,,, ,(202) 342-1254,,,,Condo list
Shell Condominium Assn Inc,,,,, ,(202) 291-2708,,,,Condo list
